RequiredAge,DemoCount,DeveloperCount,DLCCount,Metacritic,MovieCount,PackageCount,RecommendationCount,PublisherCount,ScreenshotCount,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,SteamSpyPlayersVariance,AchievementCount,AchievementHighlightedCount,ControllerSupport,IsFree,FreeVerAvail,PurchaseAvail,SubscriptionAvail,PlatformWindows,PlatformLinux,PlatformMac,PCReqsHaveMin,PCReqsHaveRec,LinuxReqsHaveMin,LinuxReqsHaveRec,MacReqsHaveMin,MacReqsHaveRec,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeSrcSDK,CategoryIncludeLevelEditor,CategoryVRSupport,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,Header_Size_Bytes,Background_Size_Bytes,Background_Exists,Header_Size_Group,Release_Year,Release_Month,ReleaseDate_missing,month_sin,month_cos,game_age_years,Has_SupportEmail,Has_DRMNotice,Has_LegalNotice,Has_ExtUserAcctNotice,Review_Sentiment,language_count,has_english,tag_count,tag_indie,tag_action,tag_adventure,tag_casual,tag_singleplayer,tag_strategy,tag_simulation,tag_rpg,tag_multiplayer,tag_puzzle,tag_2d,tag_platformer,tag_shooter,tag_first_person,tag_pixel_graphics,tag_free_to_play,tag_sci_fi,tag_female_protagonist,tag_arcade,tag_early_access,tag_horror,tag_vr,tag_story_rich,tag_great_soundtrack,tag_atmospheric,pc_min_ram_gb,pc_min_word_count,pc_min_has_directx,has_pc_rec_reqs,pc_rec_ram_gb,pc_rec_word_count,has_linux_min_reqs,has_mac_min_reqs,desc_semantic_0,desc_semantic_1,desc_semantic_2,desc_semantic_3,desc_semantic_4,desc_semantic_5,desc_semantic_6,desc_semantic_7,desc_semantic_8,desc_semantic_9,desc_semantic_10,desc_semantic_11,desc_semantic_12,desc_semantic_13,desc_semantic_14,desc_semantic_15,desc_semantic_16,desc_semantic_17,desc_semantic_18,desc_semantic_19,desc_semantic_20,desc_semantic_21,desc_semantic_22,desc_semantic_23,desc_semantic_24,desc_semantic_25,desc_semantic_26,desc_semantic_27,desc_semantic_28,desc_semantic_29,has_discount,discount_amount,platform_count,category_count,genre_count,language_count_log,Support_Tier_General_Website,Support_Tier_Professional_Portal,Website_Authority_Has_Social_Only,Website_Authority_Major_Publisher
0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,11.141745834828614,1,2.6390573296152584,16.383020864164713,11.438094154347224,16.02825102775085,11.039350766697854,0.0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.39698576841553,2.39698576841553,10.24491179343424,50690,1,0.0,2000,11,0,-0.5000000000000004,0.8660254037844384,2.6989013159915975,0,0,0,0,-1,1,1,10,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0938,29,0,0,4.0,0,1,1,0.2692549,-0.1690503,0.025779843,0.061703507,0.018472418,-0.03328762,-0.13167638,-0.14415663,-0.26519355,0.10786007,-0.0048133135,-0.0013013706,0.05893591,-0.048622824,0.012796637,-0.08200902,0.066693634,0.03563941,-0.036565773,0.109256074,0.08528389,0.056981917,-0.105663314,-0.041295312,0.0053106435,-0.06330904,-0.12580927,0.04642685,-0.051467054,0.043300178,0,0.0,3,1,1,0.6931471805599453,False,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,7.799753318287247,1,1.791759469228055,15.501750424806806,11.008231007134478,13.532654156543446,10.030120203469494,0.0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.7900914121273581,1.7900914121273581,10.322625427564935,64709,1,0.0,1999,4,0,0.8660254037844387,-0.4999999999999998,2.6989013159915975,0,0,0,0,-1,1,1,10,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0938,29,0,0,4.0,0,1,1,0.31273165,-0.125009,-0.04633893,-0.10987383,0.19466305,0.08322923,-0.103586935,-0.14438614,-0.20105618,-0.051267587,-0.017331894,0.03966423,0.07237718,-0.030017214,-0.050806887,-0.009512026,0.085514754,0.03275193,0.0065342,0.045012593,-0.013148554,-0.035881493,0.085087165,0.038513456,0.034448564,-0.011694839,-0.048304047,-0.009185967,-0.012669422,-0.071122244,0,0.0,3,1,1,0.6931471805599453,True,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,7.749322464660356,1,1.791759469228055,15.846431667843632,11.177452728682098,14.351852455019014,10.438400727831178,0.0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.7900914121273581,1.7900914121273581,10.507967440379907,58479,1,1.0,2003,5,0,0.49999999999999994,-0.8660254037844387,2.6989013159915975,0,0,0,0,-1,1,1,10,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0938,29,0,0,4.0,0,1,1,0.3342945,-0.2861343,-0.25035825,0.1170792,0.11500551,0.07508455,-0.12925313,-0.12174768,-0.14678213,-0.08764241,-0.20478131,0.016429424,0.06278837,-0.008190708,0.005160596,0.09045453,-0.013076164,-0.04600576,-0.034491688,-0.016923498,-0.0022938587,-0.013617139,-0.118555605,0.09770666,-0.048971746,0.017825143,-0.057033498,-0.02493772,-0.06303249,0.04877904,0,0.0,3,1,1,0.6931471805599453,True,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,6.790097235513905,1,1.6094379124341003,15.83027570233539,11.169547438174869,13.57937928007736,10.053458079112422,0.0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.7900914121273581,1.7900914121273581,10.380621947334651,39026,1,0.0,2001,6,0,1.2246467991473532e-16,-1.0,2.6989013159915975,0,0,0,0,-1,1,1,10,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.0938,29,0,0,4.0,0,1,1,0.14266017,0.07286434,-0.022263944,0.09338713,0.22674507,0.1049857,0.036815874,0.010162939,-0.0018736483,0.021157304,0.050065577,-0.11697031,-0.08621917,0.05674035,0.07786596,0.057659086,-0.035806224,0.13872203,-0.03994571,-0.080635175,-0.02326512,-0.057751685,-0.070868105,0.02695549,0.1035282,0.021459216,-0.016995206,-0.12398055,-0.12628792,0.024916945,0,0.0,3,1,1,0.6931471805599453,True,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,7.984462732262196,1,1.791759469228055,15.50181691465495,11.008264136172082,13.467005010592757,9.99738764772918,0.0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.7900914121273581,1.7900914121273581,10.635759287780123,37607,1,1.0,1999,11,0,-0.5000000000000004,0.8660254037844384,2.6989013159915975,0,0,0,0,-1,1,1,10,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.0938,29,0,0,4.0,0,1,1,0.015189141,-0.026477002,-0.12936929,0.15974139,0.009711824,0.13314058,0.048500992,-0.081992164,0.02507176,-0.05409,-0.07970479,0.008273616,-0.078413635,-0.09269975,-0.12299663,0.025282174,0.09313722,-0.05629456,-0.032689445,0.1103719,0.054915592,0.17187786,-0.019278768,-0.026428126,-0.12601058,-0.071323544,-0.015899852,-0.009515216,0.045072608,0.075268924,0,0.0,3,2,1,0.6931471805599453,True,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,7.583756300707112,1,1.6094379124341003,15.828887614815939,11.168870552387599,13.645293841084271,10.086308984371733,0.0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.7900914121273581,1.7900914121273581,9.481283120423665,21213,1,0.0,2000,11,0,-0.5000000000000004,0.8660254037844384,2.6989013159915975,0,0,0,0,-1,1,1,10,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.0938,29,0,0,4.0,0,1,1,0.2902934,0.00464841,-0.014187157,-0.0029919762,0.09932208,0.16538028,-0.020525929,-0.10088966,-0.14297445,0.088819765,0.032525524,0.011416808,-0.04130637,-0.12138629,0.06975439,0.08314398,0.06176904,-0.030984126,0.14021139,0.05261989,0.036706224,0.1161944,0.016050775,-0.022796256,0.05386679,-0.08422479,0.03258348,-0.04641685,-0.12346892,0.04635632,0,0.0,3,1,1,0.6931471805599453,True,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,9.432443382115146,1,2.4849066497880004,15.59511394044728,11.05417033349524,14.634749714684958,10.579081573848484,0.0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.39698576841553,2.39698576841553,10.722341845718807,48030,1,1.0,1998,11,0,-0.5000000000000004,0.8660254037844384,2.6989013159915975,0,0,0,0,-1,1,1,10,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.0938,29,0,0,4.0,0,1,1,0.058240272,0.12639904,0.14655328,-0.010712255,-0.014381893,0.16159584,-0.14420164,-0.19242555,-0.10371526,0.005618984,0.09433012,-0.032440677,-0.078785665,-0.13371795,0.046946716,0.13651498,0.021014608,-0.004845687,-0.0858252,0.014905877,0.054805018,0.062487867,-0.039486777,4.6823174e-05,0.07553014,-0.04897399,-0.08209257,-0.048553884,-0.0008352548,0.019942246,0,0.0,3,2,1,0.6931471805599453,False,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,8.863332833439587,1,2.1972245773362196,16.16586262518074,11.333128718159385,15.233282025833594,10.875761563605456,0.0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.39698576841553,2.39698576841553,10.225317396349036,67425,1,0.0,2004,3,0,1.0,6.123233995736766e-17,2.6989013159915975,0,0,0,0,-1,1,1,10,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0938,29,0,0,4.0,0,0,0,0.24361616,-0.07424684,-0.03341818,0.024582762,0.15980926,0.06694965,-0.14084652,-0.12690622,-0.042314813,0.029429467,-0.009337965,-0.029862843,0.08673057,0.096741185,-0.07746732,0.09678453,-0.055779837,0.12971987,-0.07230057,0.07724145,0.023469366,0.09943748,-0.022357047,-0.020818654,0.016376028,0.040229402,-0.038774136,-0.17162137,0.07644466,-0.031766206,0,0.0,3,2,1,0.6931471805599453,False,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,7.705262474866325,1,1.791759469228055,15.496087224498117,11.005427631296913,13.403803006284743,9.965851836732678,0.0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.7900914121273581,1.7900914121273581,10.66148570541569,52610,1,1.0,2001,6,0,1.2246467991473532e-16,-1.0,2.6989013159915975,0,0,0,0,-1,1,1,10,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.0938,29,0,0,4.0,0,1,1,-0.07733315,0.1641363,-0.26591545,0.018632919,0.17182201,0.07216488,0.0429584,-0.081569426,0.07025447,-0.085016534,-0.0038031824,-0.10920583,-0.02417912,0.0527357,-0.08181031,-0.04082842,0.020111322,0.08631335,0.12887682,-0.050006244,0.0132339075,0.059000373,-0.035723228,0.08298963,-0.029902907,0.022493323,-0.026699983,0.058865767,0.1066293,-0.09388788,0,0.0,3,1,1,0.6931471805599453,True,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,1.0986122886681098,1.0986122886681098,10.48550762254391,1,2.302585092994046,16.10816389393266,11.305101467763851,15.555268411829257,11.034567031341739,3.5263605246161616,10,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.39698576841553,2.39698576841553,10.202220834799924,91349,1,0.0,2004,11,0,-0.5000000000000004,0.8660254037844384,2.6989013159915975,0,0,0,0,-1,11,1,10,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2.0,0,0,0,4.0,0,0,0,-0.0028517395,0.09716037,-0.030003369,0.16037871,0.10781233,0.09445098,-0.04227321,0.03262861,-0.023322083,-0.04043673,0.16547425,-0.10480937,-0.06155899,0.0075886007,0.006945275,0.09550002,0.21766382,-0.095232144,-0.07851407,-0.057365324,0.05917357,0.042336524,-0.09657155,-0.09321618,0.03340356,0.01804446,-0.056036454,0.015559124,0.079018,-0.048628744,0,0.0,3,2,1,2.4849066497880004,False,False,False,False
